Hedge Fund,Stock,Symbol,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,Avg Price
Whale Rock Capital Management,Sea ltd adr,SE,1807148,80075000,1.09,,38,1807148,,new,0.39,Q2 2019,INFORMATION TECHNOLOGY,44.31
Whale Rock Capital Management,Monolithic power systems inc,MPWR,457933,76685000,1.05,1.21,39,58762,14.72,addition,1.03,Q3 2015,INFORMATION TECHNOLOGY,91.06
Whale Rock Capital Management,Wayfair inc class a,W,1275912,68185000,0.93,2.12,40,-103722,-7.52,reduction,1.35,Q4 2018,CONSUMER DISCRETIONARY,127.39
Whale Rock Capital Management,Bill.com holdings  inc.,BILL,1616464,55283000,0.75,0.08,41,1496464,1247.05,addition,2.23,Q4 2019,INFORMATION TECHNOLOGY,34.49
Whale Rock Capital Management,Peloton interactive inc,PTON,1954977,51905000,0.71,,42,1954977,,new,0.70,Q3 2019,CONSUMER DISCRETIONARY,26.55
Whale Rock Capital Management,Ringcentral inc,RNG,239736,50802000,0.69,,43,239736,,new,0.28,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,211.91
Whale Rock Capital Management,Fastly inc,FSLY,2550860,48415000,0.66,0.67,44,594148,30.36,addition,2.65,Q2 2019,INFORMATION TECHNOLOGY,19.82
Whale Rock Capital Management,Anaplan inc,PLAN,1333141,40341000,0.55,0.95,45,259594,24.18,addition,0.97,Q3 2019,INFORMATION TECHNOLOGY,43.74
Whale Rock Capital Management,Maxim integrated products inc,MXIM,572873,27847000,0.38,,46,572873,,new,0.21,Q1 2020,INFORMATION TECHNOLOGY,48.61
Whale Rock Capital Management,Stoneco ltd,STNE,1089620,23721000,0.32,1.93,47,-1758240,-61.74,reduction,0.39,Q1 2019,FINANCE,39.92
Whale Rock Capital Management,Cardlytics inc,CDLX,388319,13576000,0.19,,48,388319,,new,1.44,Q1 2020,INFORMATION TECHNOLOGY,34.96
Whale Rock Capital Management,Twitter inc,TWTR,253316,6221000,0.08,,49,253316,,new,0.03,Q1 2020,COMMUNICATIONS,24.56
Matrix Capital Management,Netflix inc,NFLX,2000000,751000000,19.20,13.78,1,0,0.00,,0.45,Q3 2012,COMMUNICATIONS,37.16
Matrix Capital Management,Adaptive biotechnologies corp,ADPT,15115090,419897000,10.73,11.04,2,-2217101,-12.79,reduction,11.93,Q2 2019,HEALTH CARE,48.30
Matrix Capital Management,Salesforce.com inc.,CRM,2622309,377560000,9.65,17.38,3,-2396666,-47.75,reduction,0.29,Q1 2018,INFORMATION TECHNOLOGY,143.32
Matrix Capital Management,Micron technology  inc.,MU,8000000,336480000,8.60,7.24,4,1679872,26.58,addition,0.72,Q1 2019,INFORMATION TECHNOLOGY,40.56
Matrix Capital Management,Transdigm group inc,TDG,863400,276452000,7.07,7.36,5,245617,39.76,addition,1.61,Q3 2007,INDUSTRIALS,164.89
Matrix Capital Management,Applied materials inc.,AMAT,4913000,225114000,5.76,5.52,6,663000,15.60,addition,0.54,Q1 2019,INFORMATION TECHNOLOGY,42.36
Matrix Capital Management,Amazon.com inc.,AMZN,103100,201016000,5.14,4.09,7,-1000,-0.96,reduction,0.02,Q4 2018,CONSUMER DISCRETIONARY,1605.90
Matrix Capital Management,Xilinx  inc,XLNX,2215000,172637000,4.41,1.04,8,1715000,343.00,addition,0.89,Q3 2019,INFORMATION TECHNOLOGY,82.16
Matrix Capital Management,Qualcomm inc.,QCOM,2400000,162360000,4.15,4.51,9,0,0.00,,0.21,Q2 2019,INFORMATION TECHNOLOGY,77.10
Matrix Capital Management,Crowdstrike holdings inc,CRWD,2435000,135581000,3.47,,10,2435000,,new,1.14,Q1 2020,INFORMATION TECHNOLOGY,55.68
Matrix Capital Management,Docusign inc,DOCU,1345166,124293000,3.18,2.75,11,-396000,-22.74,reduction,0.73,Q2 2019,INFORMATION TECHNOLOGY,49.71
Matrix Capital Management,New relic inc,NEWR,2660514,123022000,3.15,0.15,12,2550000,2307.40,addition,4.49,Q4 2014,INFORMATION TECHNOLOGY,46.95
Matrix Capital Management,Altair engineering inc,ALTR,4136725,109623000,2.80,1.83,13,1744000,72.89,addition,5.68,Q3 2019,INDUSTRIALS,31.72
Matrix Capital Management,Workday inc,WDAY,820000,106780000,2.73,2.98,14,-30000,-3.53,reduction,0.35,Q4 2012,COMMUNICATIONS,114.75
Matrix Capital Management,Adaptimmune therapeutics plc adr,ADAP,34428730,93646000,2.39,0.72,15,6428730,22.96,addition,26.46,Q2 2017,HEALTH CARE,6.80
Matrix Capital Management,Zillow group inc class c,Z,2440000,87889000,2.25,2.39,16,0,0.00,,1.16,Q2 2019,COMMUNICATIONS,46.39
Matrix Capital Management,Cargurus inc,CARG,3812048,72200000,1.85,4.04,17,-1579000,-29.29,reduction,3.38,Q4 2017,CONSUMER DISCRETIONARY,33.90
Matrix Capital Management,Facebook inc,FB,262100,43718000,1.12,4.58,18,-786300,-75.00,reduction,0.01,Q1 2019,COMMUNICATIONS,170.41
Matrix Capital Management,Lumentum holdings inc,LITE,580000,42746000,1.09,,19,580000,,new,0.78,Q1 2020,INFORMATION TECHNOLOGY,73.70
Matrix Capital Management,Coupa software inc,COUP,173000,24173000,0.62,,20,173000,,new,0.26,Q1 2020,INFORMATION TECHNOLOGY,139.73
Matrix Capital Management,Livongo health inc,LVGO,767943,21909000,0.56,,21,767943,,new,0.79,Q1 2020,HEALTH CARE,28.53
Matrix Capital Management,Bill.com holdings  inc.,BILL,100000,3420000,0.09,0.08,22,0,0.00,,0.14,Q4 2019,INFORMATION TECHNOLOGY,38.05
